
Nome: Anti Tudo [Ultimate] II | id: 70146 | precoRop: 395c | precoZenny: 1z | Atual: 388.0c | 05/02/2026 13:13:44
Nome: Moeda de Instância | id: 30010 | precoRop: 40c | precoZenny: 5.000.000z | Atual: 36.0c | 05/02/2026 13:23:25
Nome: Anti Tudo [Ultimate] II | id: 70146 | precoRop: 395c | precoZenny: 1z | Atual: 388.0c | 05/02/2026 13:23:38
Nome: Jewelry Ant Card | id: 300006 | precoRop: 6.650c | precoZenny: 1z | Atual: 6399.0c | 05/02/2026 13:24:57
Nome: Essência Lapine 1ª Linha  | id: 47083 | precoRop: 9.999c | precoZenny: 9.000.000z | Atual: 9998.0c | 05/02/2026 13:25:10
Nome: Moeda de Instância | id: 30010 | precoRop: 40c | precoZenny: 5.000.000z | Atual: 36.0c | 05/02/2026 13:25:23
Nome: Anti Tudo [Ultimate] II | id: 70146 | precoRop: 395c | precoZenny: 1z | Atual: 388.0c | 05/02/2026 13:25:36
Nome: Jewelry Ant Card | id: 300006 | precoRop: 6.650c | precoZenny: 1z | Atual: 6399.0c | 05/02/2026 13:26:55
Nome: Essência Lapine 1ª Linha  | id: 47083 | precoRop: 9.999c | precoZenny: 9.000.000z | Atual: 9998.0c | 05/02/2026 13:27:08
Nome: Moeda de Instância | id: 30010 | precoRop: 40c | precoZenny: 5.000.000z | Atual: 36.0c | 05/02/2026 13:27:21
Nome: Anti Tudo [Ultimate] II | id: 70146 | precoRop: 395c | precoZenny: 1z | Atual: 388.0c | 05/02/2026 13:27:34
Nome: Jewelry Ant Card | id: 300006 | precoRop: 6.650c | precoZenny: 1z | Atual: 6399.0c | 05/02/2026 13:28:53
Nome: Essência Lapine 1ª Linha  | id: 47083 | precoRop: 9.999c | precoZenny: 9.000.000z | Atual: 9998.0c | 05/02/2026 13:29:06
Nome: Moeda de Instância | id: 30010 | precoRop: 40c | precoZenny: 5.000.000z | Atual: 36.0c | 05/02/2026 13:29:19
Nome: Anti Tudo [Ultimate] II | id: 70146 | precoRop: 395c | precoZenny: 1z | Atual: 388.0c | 05/02/2026 13:29:32
Nome: Jewelry Ant Card | id: 300006 | precoRop: 6.650c | precoZenny: 1z | Atual: 6399.0c | 05/02/2026 13:30:52
Nome: Essência Lapine 1ª Linha  | id: 47083 | precoRop: 9.999c | precoZenny: 9.000.000z | Atual: 9998.0c | 05/02/2026 13:31:06
Nome: Moeda de Instância | id: 30010 | precoRop: 40c | precoZenny: 5.000.000z | Atual: 36.0c | 05/02/2026 13:31:19
Nome: Anti Tudo [Ultimate] II | id: 70146 | precoRop: 395c | precoZenny: 1z | Atual: 388.0c | 05/02/2026 13:31:32
Nome: Jewelry Ant Card | id: 300006 | precoRop: 6.650c | precoZenny: 1z | Atual: 6399.0c | 05/02/2026 13:32:50
Nome: Essência Lapine 1ª Linha  | id: 47083 | precoRop: 9.999c | precoZenny: 9.000.000z | Atual: 9998.0c | 05/02/2026 13:33:03
Nome: Moeda de Instância | id: 30010 | precoRop: 40c | precoZenny: 5.000.000z | Atual: 36.0c | 05/02/2026 13:33:16
Nome: Anti Tudo [Ultimate] II | id: 70146 | precoRop: 395c | precoZenny: 1z | Atual: 388.0c | 05/02/2026 13:33:29
Nome: Jewelry Ant Card | id: 300006 | precoRop: 6.650c | precoZenny: 1z | Atual: 6399.0c | 05/02/2026 13:34:53
Nome: Essência Lapine 1ª Linha  | id: 47083 | precoRop: 9.999c | precoZenny: 9.000.000z | Atual: 9998.0c | 05/02/2026 13:35:07
Nome: Moeda de Instância | id: 30010 | precoRop: 40c | precoZenny: 5.000.000z | Atual: 36.0c | 05/02/2026 13:35:20
Nome: Anti Tudo [Ultimate] II | id: 70146 | precoRop: 395c | precoZenny: 1z | Atual: 388.0c | 05/02/2026 13:35:33
Nome: Jewelry Ant Card | id: 300006 | precoRop: 6.650c | precoZenny: 1z | Atual: 6399.0c | 05/02/2026 13:36:52
Nome: Essência Lapine 1ª Linha  | id: 47083 | precoRop: 9.999c | precoZenny: 9.000.000z | Atual: 9998.0c | 05/02/2026 13:37:05
Nome: Anti Tudo [Ultimate] II | id: 70146 | precoRop: 395c | precoZenny: 1z | Atual: 388.0c | 05/02/2026 13:37:31
Nome: Jewelry Ant Card | id: 300006 | precoRop: 6.650c | precoZenny: 1z | Atual: 6399.0c | 05/02/2026 13:38:50
Nome: Essência Lapine 1ª Linha  | id: 47083 | precoRop: 9.999c | precoZenny: 9.000.000z | Atual: 9998.0c | 05/02/2026 13:39:03
Nome: Anti Tudo [Ultimate] II | id: 70146 | precoRop: 395c | precoZenny: 1z | Atual: 388.0c | 05/02/2026 13:39:30
Nome: Jewelry Ant Card | id: 300006 | precoRop: 6.650c | precoZenny: 1z | Atual: 6399.0c | 05/02/2026 13:40:49
Nome: Essência Lapine 1ª Linha  | id: 47083 | precoRop: 9.999c | precoZenny: 9.000.000z | Atual: 9998.0c | 05/02/2026 13:41:03
Nome: Anti Tudo [Ultimate] II | id: 70146 | precoRop: 395c | precoZenny: 1z | Atual: 388.0c | 05/02/2026 13:41:29
Nome: Jewelry Ant Card | id: 300006 | precoRop: 6.650c | precoZenny: 1z | Atual: 6399.0c | 05/02/2026 13:42:48
Nome: Essência Lapine 1ª Linha  | id: 47083 | precoRop: 9.999c | precoZenny: 9.000.000z | Atual: 9998.0c | 05/02/2026 13:43:01
Nome: Anti Tudo [Ultimate] II | id: 70146 | precoRop: 395c | precoZenny: 1z | Atual: 388.0c | 05/02/2026 13:43:27
Nome: Jewelry Ant Card | id: 300006 | precoRop: 6.650c | precoZenny: 1z | Atual: 6399.0c | 05/02/2026 13:44:47
Nome: Essência Lapine 1ª Linha  | id: 47083 | precoRop: 9.999c | precoZenny: 9.000.000z | Atual: 9998.0c | 05/02/2026 13:45:00
Nome: Anti Tudo [Ultimate] II | id: 70146 | precoRop: 395c | precoZenny: 1z | Atual: 388.0c | 05/02/2026 13:45:28
Nome: Jewelry Ant Card | id: 300006 | precoRop: 6.650c | precoZenny: 1z | Atual: 6399.0c | 05/02/2026 13:46:47
Nome: Essência Lapine 1ª Linha  | id: 47083 | precoRop: 9.999c | precoZenny: 9.000.000z | Atual: 9998.0c | 05/02/2026 13:47:00
Nome: Anti Tudo [Ultimate] II | id: 70146 | precoRop: 395c | precoZenny: 1z | Atual: 388.0c | 05/02/2026 13:47:27
Nome: Jewelry Ant Card | id: 300006 | precoRop: 6.650c | precoZenny: 1z | Atual: 6399.0c | 05/02/2026 13:48:46
Nome: Essência Lapine 1ª Linha  | id: 47083 | precoRop: 9.999c | precoZenny: 9.000.000z | Atual: 9998.0c | 05/02/2026 13:49:00
Nome: Anti Tudo [Ultimate] II | id: 70146 | precoRop: 395c | precoZenny: 1z | Atual: 388.0c | 05/02/2026 13:49:26
Nome: Jewelry Ant Card | id: 300006 | precoRop: 6.650c | precoZenny: 1z | Atual: 6399.0c | 05/02/2026 13:50:46
Nome: Essência Lapine 1ª Linha  | id: 47083 | precoRop: 9.999c | precoZenny: 9.000.000z | Atual: 9998.0c | 05/02/2026 13:50:59
